ID,Sample_name,Row,Col,Population,Harv_2023_1,Harv_2023_2,Harv_2024_1,Harv_2024_2
#35,No35,106,1,DiversityPanel,,,,
A41S-X3,A41S-X3,113,10,DiversityPanel,,,,
A41S-X8,A41S-X8,113,11,DiversityPanel,,,,
Bain Fav. #1,BainFav1,106,2,DiversityPanel,,,,
BE4,BE4 ,106,3,DiversityPanel,,,,
Ben Lear,BenLear,106,4,DiversityPanel,,,,
Bergman,Bergman,106,5,DiversityPanel,,,,
BG,BG,106,6,DiversityPanel,,,,
BG-Yellow,BGYellow,106,8,DiversityPanel,,,,
BG48,BG48 ,106,7,DiversityPanel,,,,
BL03,BL03,113,13,DiversityPanel,,,,
BL04,BL04,113,15,DiversityPanel,,,,
BL05,BL05,113,16,DiversityPanel,,,,
BL09,BL09,113,17,DiversityPanel,,,,
BL10 (),BL10,113,18,DiversityPanel,,,,
BL14,BL14,113,19,DiversityPanel,,,,
BL18,BL18,114,1,DiversityPanel,,,,
BL19,BL19,114,2,DiversityPanel,,,,
BLM01,BLM01,114,3,DiversityPanel,,,,
Budd's Blues,BuddBlue,106,9,DiversityPanel,,,,
Chip01,Chip01,114,4,DiversityPanel,,,,
Chip03,Chip03,114,5,DiversityPanel,,,,
Chip05,Chip05,114,6,DiversityPanel,,,,
Chip07,Chip07,114,7,DiversityPanel,,,,
Chip08,Chip08,114,8,DiversityPanel,,,,
Chip10,Chip10,114,9,DiversityPanel,,,,
Chip17,Chip17,114,10,DiversityPanel,,,,
CNJ10-4-9,CNJ10-4-9,109,5,DiversityPanel,,,,
Crimson Queen,CrimsonQ,106,10,DiversityPanel,,,,
D07,D07,106,11,DiversityPanel,,,,
D8S,D8S,113,12,DiversityPanel,,,,
Demoranville,Demoranville,106,12,DiversityPanel,,,,
DP14,DP14,109,15,DiversityPanel,,,,
DP17,DP17,109,16,DiversityPanel,,,,
Early Black (one off),EarlyBlack,106,13,DiversityPanel,,,,
Franklin,Franklin,106,14,DiversityPanel,,,,
FRLK12,FRLK12,114,11,DiversityPanel,,,,
GH1,GH1,106,15,DiversityPanel,,,,
GYPL17,GYPL17,114,12,DiversityPanel,,,,
GYPL18,GYPL18,114,13,DiversityPanel,,,,
GYPL19,GYPL19,114,14,DiversityPanel,,,,
GYPL28,GYPL28,114,15,DiversityPanel,,,,
GYPL31,GYPL31,114,16,DiversityPanel,,,,
GYPL32,GYPL32,114,17,DiversityPanel,,,,
Harju,Harju,106,16,DiversityPanel,,,,
HAWL05,HAWL05,114,18,DiversityPanel,,,,
Howes,Howes,106,17,DiversityPanel,,,,
HW05,HW05,114,19,DiversityPanel,,,,
HW12,HW12,115,1,DiversityPanel,,,,
HyRed,HyRed,106,18,DiversityPanel,,,,
J21,J21,106,19,DiversityPanel,,,,
KLB17,KLB17,115,2,DiversityPanel,,,,
LL07,LL07,115,3,DiversityPanel,,,,
LL08,LL08,115,5,DiversityPanel,,,,
LL12,LL12,115,6,DiversityPanel,,,,
LL13,LL13,115,7,DiversityPanel,,,,
LL14,LL14,115,8,DiversityPanel,,,,
LL15,LL15,115,9,DiversityPanel,,,,
LOLM01,LOLM01,115,11,DiversityPanel,,,,
LOLM03,LOLM03,115,12,DiversityPanel,,,,
LOLM07,LOLM07,115,13,DiversityPanel,,,,
LOLM11,LOLM11,115,14,DiversityPanel,,,,
LOLM12,LOLM12,115,15,DiversityPanel,,,,
LoRed,LoRed,107,1,DiversityPanel,,,,
Lorraine Wild Unk,LorrainWU,116,15,DiversityPanel,,,,
LRL01,LRL01,115,16,DiversityPanel,,,,
LRL02,LRL02,115,17,DiversityPanel,,,,
LRL03,LRL03,115,18,DiversityPanel,,,,
LRL04,LRL04,115,19,DiversityPanel,,,,
LRL05,LRL05,116,1,DiversityPanel,,,,
LRL10,LRL10,116,2,DiversityPanel,,,,
LRL11,LRL11,116,3,DiversityPanel,,,,
LRL15,LRL15,116,4,DiversityPanel,,,,
LRL18,LRL18,116,5,DiversityPanel,,,,
MG02,MG02,108,16,DiversityPanel,,,,
MG03,MG03,108,17,DiversityPanel,,,,
MG04,MG04,108,18,DiversityPanel,,,,
MG07,MG07,108,19,DiversityPanel,,,,
MG09,MG09,109,1,DiversityPanel,,,,
MG12,MG12,109,2,DiversityPanel,,,,
Mullica Queen,MullicaQ,107,3,DiversityPanel,,,,
Murphy's Green,MurphysG,109,4,DiversityPanel,,,,
Murphy's Green (a),MurphysGA,109,3,DiversityPanel,,,,
Pilgrim King,PilgrimK,107,4,DiversityPanel,,,,
PMW02,PMW02,116,6,DiversityPanel,,,,
PMW16,PMW16,116,7,DiversityPanel,,,,
PMW20,PMW20,116,8,DiversityPanel,,,,
Potter's Favorite,PottersFav,107,5,DiversityPanel,,,,
QS01,QS01,109,6,DiversityPanel,,,,
QS02,QS02,109,7,DiversityPanel,,,,
QS03,QS03,109,8,DiversityPanel,,,,
QS04,QS04,109,10,DiversityPanel,,,,
QS05,QS05,109,11,DiversityPanel,,,,
QS06,QS06,109,12,DiversityPanel,,,,
QS07,QS07,109,13,DiversityPanel,,,,
QS08,QS08,109,14,DiversityPanel,,,,
Ruby Star,RubyStar,107,6,DiversityPanel,,,,
SEB15,SEB15,116,9,DiversityPanel,,,,
SHPL13,SHPL13,116,10,DiversityPanel,,,,
ST,ST,107,7,DiversityPanel,,,,
Stevens_1,Stevens01,118,6,DiversityPanel,,,,
Stevens_10,Stevens10,116,17,DiversityPanel,,,,
Stevens_11,Stevens11,113,5,DiversityPanel,,,,
Stevens_12,Stevens12,115,4,DiversityPanel,,,,
Stevens_13,Stevens13,113,14,DiversityPanel,,,,
Stevens_14,Stevens14,116,12,DiversityPanel,,,,
Stevens_15,Stevens15,110,12,DiversityPanel,,,,
Stevens_16,Stevens16,119,12,DiversityPanel,,,,
Stevens_2,Stevens02,115,10,DiversityPanel,,,,
Stevens_3,Stevens03,112,10,DiversityPanel,,,,
Stevens_4,Stevens04,109,9,DiversityPanel,,,,
Stevens_5,Stevens05,109,19,DiversityPanel,,,,
Stevens_7,Stevens07,108,3,DiversityPanel,,,,
Stevens_8,Stevens08,107,2,DiversityPanel,,,,
Stevens_9,Stevens09,110,11,DiversityPanel,,,,
Sundance,Sundance,107,8,DiversityPanel,,,,
V07,V07,107,9,DiversityPanel,,,,
V11,V11,107,10,DiversityPanel,,,,
WABL04,WABL04,116,11,DiversityPanel,,,,
WABL06,WABL06,116,13,DiversityPanel,,,,
WABL11,WABL11,116,14,DiversityPanel,,,,
WC12-001,WC12-001,109,18,DiversityPanel,,,,
WC12-006,WC12-006,110,1,DiversityPanel,,,,
WC12-008,WC12-008,110,2,DiversityPanel,,,,
WC12-012,WC12-012,110,3,DiversityPanel,,,,
WC12-014,WC12-014,110,4,DiversityPanel,,,,
WC12-017,WC12-017,110,5,DiversityPanel,,,,
WC12-032,WC12-032,110,6,DiversityPanel,,,,
